can_fly,Class,Order,phylo_dist,Family,Genus.species,Common Name,Typical_Diet,Mass g (mean/median from study),mass-citation-if-not-from-retention-study,Food in Feeding Trial,Feeding.Trial.Food.Cat,N_individuals,N_trials,retention metric description,Minimum (min),IQR_1,Median (min),Mean (min),IQR_3,Maximum (min),SD,SE,mrt (min),mrt_sd,mrt_se,Retention.Citation,Notes,includes keywords,original submision
Y,Mammalia,Chiroptera,188.00000000,Phyllostomidae,Artibeus jamaicensis,Jamaican fruit bat,frugivore/nectarivore,42.10000000,mean as reported in paper,P. ellipticum,fruit/nectar/pollen,6,1,"TT: transit time, time from feeding to first appearance in feces",82.00000000,,,166.25000000,,,33.00000000,,,,,Herrera and Martinez del Rio 1998,,,Yes
Y,Mammalia,Chiroptera,188.00000000,Phyllostomidae,Artibeus jamaicensis,Jamaican fruit bat,frugivore/nectarivore,38.20000000,mean as reported in paper,H. undatus,fruit/nectar/pollen,7,1,"TT: transit time, time from feeding to first appearance in feces",38.00000000,,,83.75000000,,,38.00000000,,,,,Herrera and Martinez del Rio 1998,,,Yes
Y,Mammalia,Chiroptera,188.00000000,Phyllostomidae,Artibeus jamaicensis,Jamaican fruit bat,frugivore/nectarivore,39.70000000,mean reported in paper,pollen + water mixture,fruit/nectar/pollen,8,1,MGT: time from ingestion of pollen to appearance of pollen infeces ,,,,91.70000000,,,15.25510204,,,,,Mancina et al 2005,minimum gut transit time extracted from figure,,Yes
Y,Mammalia,Chiroptera,188.00000000,Phyllostomidae,Brachyphylla nana,Antillean nectar bat,omnivore,34.30000000,mean reported in paper,pollen + water mixture,fruit/nectar/pollen,8,1,MGT: time from ingestion of pollen to appearance of pollen infeces ,,,,40.80000000,,,8.52040816,,,,,Mancina et al 2005,minimum gut transit time extracted from figure,,Yes
N,Mammalia,Primates,174.36960000,Cebidae,Callithrix jacchus,common marmoset,omnivore,348.00000000,,bananas mixed with Co-EDTA,fruit/nectar/pollen,3,1,transit time,,,,216.00000000,,,126.00000000,,888.00000000,174.00000000,,Caton et al. 1996,transit time (tt) is time of first appearance of the marker in feces; MRT is the average time taken for each of the markets to be excreted,yes,No
N,Mammalia,Primates,174.36960000,Cebidae,Callithrix jacchus,common marmoset,omnivore,348.00000000,,bananas mixed with cell wall constituents,fruit/nectar/pollen,3,1,transit time,,,,216.00000000,,,126.00000000,,744.00000000,144.00000000,,Caton et al. 1996,transit time (tt) is time of first appearance of the marker in feces; MRT is the average time taken for each of the markets to be excreted,yes,No
Y,Mammalia,Chiroptera,188.00000000,Phyllostomidae,Carollia perspicillata,Seba's short-tailed bat,frugivore/nectarivore,15.00000000,https://animaldiversity.org/accounts/Carollia_perspicillata/,"feeding trials with infructescence of four species of Piper (Piper colonense, Piper peltatum, Piper reticulatum, and Piper silvivagum)",fruit/nectar/pollen,18,193,"Gut Retention Time (time of onset of feeding to each defecation event, averaged across all events) ",8.00000000,,,23.30000000,,71.00000000,,12.03000000,,,,Baldwin and Whitehead 2015,,,Yes
Y,Mammalia,Chiroptera,188.00000000,Phyllostomidae,Carollia perspicillata,Seba's short-tailed bat,frugivore/nectarivore,18.00000000,reported mean,mashed bananas with dye,fruit/nectar/pollen,6,12,Mean Passage Time: midpoint of feeding to midpoint of defecation event,,,,22.30000000,,,4.20000000,,,,,Laska 1994,,,Yes
N,Mammalia,Primates,174.36960000,Cercopithecidae,Cercopithecus albogularis schwarzi,samango monkey,frugivore/nectarivore,5350.00000000,took medians of male/female range: https://www.sanbi.org/animal-of-the-week/samango-monkey/  http://www.krugerpark.co.za/africa_samango_monkey.html,"banana, markers",fruit/nectar/pollen,2,4,gut passage window from consumtion to defecation,997.80000000,,,1252.50000000,,1507.20000000,,,,,,Stringer et al 2019,took median of reported range in abstract,,Yes
N,Mammalia,Primates,174.36960000,Cercopithecidae,Cercopithecus ascanius,Red-tailed monkey,frugivore/nectarivore,5200.00000000,took median of reported male/female mass,"banana, markers",fruit/nectar/pollen,2,4,Transit time: first marker in feces,,,,1182.00000000,,,204.00000000,,1632.00000000,516.00000000,,Lambert 2002,Took species average of transit time as reported,,Yes
N,Mammalia,Primates,174.36960000,Cercopithecidae,Cercopithecus ascanius,Red-tailed monkey,frugivore/nectarivore,3585.00000000,https://animaldiversity.org/accounts/Cercopithecus_cephus/,banana,fruit/nectar/pollen,1,2,Transit time: first marker in feces,,,,1236.00000000,,,30.00000000,,1602.00000000,,222.00000000,Maisels et al. 1993,reported mean,,Yes
N,Mammalia,Primates,174.36960000,Cercopithecidae,Cercopithecus erythrotis,Red-eared guenon,frugivore/nectarivore,3585.00000000,https://animaldiversity.org/accounts/Cercopithecus_cephus/,banana,fruit/nectar/pollen,1,2,Transit time: first marker in feces,,,,1236.00000000,,,30.00000000,,1602.00000000,,222.00000000,Maisels et al. 1993,reported mean,,Yes
N,Mammalia,Primates,174.36960000,Cercopithecidae,Cercopithecus mitis,Blue monkey,frugivore/nectarivore,8600.00000000,took median of reported male/female mass,"banana, markers",fruit/nectar/pollen,2,4,Transit time: first marker in feces,,,,1014.00000000,,,180.00000000,,1500.00000000,864.00000000,,Lambert 2002,Took species average of transit time as reported,,Yes
N,Mammalia,Primates,174.36960000,Cercopithecidae,Cercopithecus neglectus,De Brazza's monkey,frugivore/nectarivore,6500.00000000,took median of reported male/female mass,"banana, markers",fruit/nectar/pollen,2,4,Transit time: first marker in feces,,,,1236.00000000,,,354.00000000,,2046.00000000,858.00000000,,Lambert 2002,Took species average of transit time as reported,,Yes
N,Mammalia,Primates,174.36960000,Cercopithecidae,Cercopithecus pogonias,Crested mona monkey,frugivore/nectarivore,3300.00000000,took median of range: https://animaldiversity.org/accounts/Cercopithecus_wolfi/,banana,fruit/nectar/pollen,2,2,Transit time: first marker in feces,,,,996.00000000,,,156.00000000,,1614.00000000,,402.00000000,Maisels et al. 1993,reported mean,,Yes
N,Mammalia,Primates,174.36960000,Cercopithecidae,Cercopithecus talapoin,Talapoin monkey,frugivore/nectarivore,1600.00000000,took median of reported male/female mass,"banana, markers",fruit/nectar/pollen,2,4,Transit time: first marker in feces,,,,720.00000000,,,324.00000000,,1008.00000000,312.00000000,,Lambert 2002,Took species average of transit time as reported,,Yes
Y,Aves,Passeriformes,637.90000000,Nectariniidae,Cinnyris osea,Palestine sunbird,frugivore/nectarivore,6.15000000,median of female + male,dye marker in nectar,fruit/nectar/pollen,14,2,transit time: time from beginning of feeding to first sight of marker in feces,19.70000000,23.15000000,30.10000000,34.60000000,41.32500000,60.20000000,15.50000000,,,,,Markman et al 2006,"calculated IQR and mean/sd from mean shown on bar graph in Fig 2, combining all male/female data + all concentrations of sugar into one. This meant we took the IQR of the following points: 21.5,19.7,24.3,23.7,36.9,35.9,54.6,60.2; formerly known as Nectarinia osea",,Yes
Y,Mammalia,Chiroptera,188.00000000,Pteropodidae,Cynopterus brachyotis,Lesser Short-nosed Fruit Bat,frugivore/nectarivore,37.30000000,,fruit,fruit/nectar/pollen,10,,unclear - limited methods,11.00000000,,13.00000000,,,15.00000000,,,,,,Boon and Corlett 1990,"average/median calculated by Cara; really unclear methods (N may be off- could be 10, 6 or 51 or 40)",,Yes
Y,Mammalia,Chiroptera,188.00000000,Pteropodidae,Cynopterus sphinx,Greater short-nosed fruit bat,frugivore/nectarivore,75.30000000,reported mean post study,Ficus seed in chopped papaya,fruit/nectar/pollen,7,16,sight of seeds in feces,60.00000000,,,401.40000000,,1080.00000000,,,,,,Shilton et al. 1999,average of trials with and without seedsonly study so far reporting such long retention. Might just be for seeds (not papaya),,Yes
Y,Aves,Passeriformes,637.90000000,Dicaeidae,Dicaeum hirundinaceum,mistletoe bird,frugivore/nectarivore,9.25000000,https://birdsoftheworld.org/bow/species/mistle1/cur/introduction,Amyema quandang (mistletoe) fruit with dye,fruit/nectar/pollen,4,1,Gut Passage Time: mean of eating to time of first sighting in feces,3.10000000,,,13.66666667,,38.05000000,,0.48333333,,,,Murphy et al 1993,not quite MGT (mean time of eating to mean defecation) but comparable,,Yes
Y,Mammalia,Chiroptera,188.00000000,Pteropodidae,Eidolon helvum,Straw-colored fruit bat,frugivore/nectarivore,270.65000000,mean of Accra + Kibi sites,"feeding trials with dyed fruit (Ficus mucoso, F. sur, F. trichopoda, Milicia excelsa, and Anthocleista nobilis)",fruit/nectar/pollen,20,112,Mean Passage Time: midpoint of feeding to midpoint of defecation event,4.00000000,,72.00000000,116.00000000,,1143.00000000,112.00000000,,,,,Abedi-Lartey et al. 2016,gut passage time; they defined feeding trial as period when at least 3 whole fruits presented to bat and at least 1 was eaten; 112 trials = 112 fruits ,,Yes
Y,Mammalia,Chiroptera,188.00000000,Pteropodidae,Epomops buettikoferi,Buettikofer's epauletted fruit bat ,frugivore/nectarivore,136.00000000,mean of male and female reported weights,banana with dye,fruit/nectar/pollen,not reported,not reported,first dye in poop,,,,69.00000000,,,14.00000000,,,,,Wolton et al. 1982,average of times of varius defecations in table 2,,Yes
N,Mammalia,Rodentia,0.00000000,Cricetidae,Lasiopodomys brandtii,Brandt's vole,folivore,4.90000000,median of initial + final body mass across both diet regimes,Co-EDTA in apple,fruit/nectar/pollen,11,1,transit time: time from beginning of feeding to first 5% of food in feces,,,,45.00000000,,,6.00000000,,381.00000000,33.00000000,,Pei et al. 2001,metrics were the same in both low and high fibre base diet,,Yes
Y,Mammalia,Chiroptera,188.00000000,Phyllostomidae,Leptonycteris curasoae,Southern long-nosed bat,frugivore/nectarivore,23.30000000,mean as reported in paper,Columnar cactus,fruit/nectar/pollen,5,1,"TT: transit time, time from feeding to first appearance in feces",50.00000000,,,115.00000000,,,34.50000000,,,,,Herrera and Martinez del Rio 1998,Fed pollen solutions,,Yes
Y,Mammalia,Chiroptera,188.00000000,Pteropodidae,Lissonycteris angolensis,Angolan rousette,frugivore/nectarivore,58.50000000,reported mass,banana with dye,fruit/nectar/pollen,not reported,not reported,first dye in poop,,,,50.00000000,,,14.00000000,,,,,Wolton et al. 1982,average of times of varius defecations in table 2,,Yes
N,Mammalia,Primates,174.36960000,Cercopithecidae,Lophocebus albigena,Gray-cheecked mangabey,frugivore/nectarivore,5300.00000000,took median of female: https://www.neprimateconservancy.org/gray-cheeked-mangabey.html,banana,fruit/nectar/pollen,2,2,Transit time: first marker in feces,,,,1362.00000000,,,270.00000000,,2280.00000000,,390.00000000,Maisels et al. 1993,reported mean,,Yes
N,Mammalia,Primates,174.36960000,Cercopithecidae,Macaca fuscata,Japanese macaque,frugivore/nectarivore,8600.00000000,median of range reported in paper (6.7-10.5 kg),banana with seed,fruit/nectar/pollen,5,1,transit time: time ingestion to first excretia of marker,1200.00000000,,1320.00000000,,,1440.00000000,,,2160.00000000,,,Tsuji et al 2016b,median of range reported in paper,,Yes
Y,Aves,Passeriformes,637.90000000,Pipridae,Manacus vittelinus,golden-collared manakin,frugivore/nectarivore,17.90000000,median of female + male means reported,marker or seed inserted into fruit or skin of fruit marked,fruit/nectar/pollen,8,1,Gut Passage Time: mean of eating to time of first sighting in feces,,,,16.73333333,,,1.77000000,,,,,Worthington 1989,took mean across the three different marker studies,,Yes
Y,Mammalia,Chiroptera,188.00000000,Pteropodidae,Myonycteris torquata,little collared fruit bat,frugivore/nectarivore,48.00000000,mean of male and female reported weights,banana with dye,fruit/nectar/pollen,not reported,not reported,first dye in poop,,,,28.00000000,,,12.00000000,,,,,Wolton et al. 1982,average of times of varius defecations in table 2,,Yes
Y,Mammalia,Chiroptera,188.00000000,Pteropodidae,Nyctimene rabori,Philippine tube-nosed fruit bat,frugivore/nectarivore,75.00000000,Alcazar et al 2019,Ficus chrysolepis fruits with seeds,fruit/nectar/pollen,3,1,range of minimum transit time reported (site of seeds in feces),20-45,,57.50000000,,,,,,,,,Utzurrum and Heidman 1991,Range of minimum transit times reported only. Upper end of minimum time + half the range taken as the median,,Yes
N,Mammalia,Primates,174.36960000,Hominidae,Pan paniscus,Bonobo,frugivore/nectarivore,39000.00000000,https://animaldiversity.org/accounts/Pan_paniscus/,fruit with marked seeds,fruit/nectar/pollen,19,1,Transit time: first marker in feces,1203.00000000,,,1440.00000000,,1697.00000000,9.00000000,,,,,Beaune et al 2013,took reported TT,,Yes
N,Mammalia,Primates,174.36960000,Hominidae,Pan troglodytes,Chimpanzee,omnivore,58400.00000000,took median of reported male/female mass,"banana, markers",fruit/nectar/pollen,2,4,Transit time: first marker in feces,,,,1392.00000000,,,456.00000000,,1890.00000000,726.00000000,,Lambert 2002,Took species average of transit time as reported,,Yes
Y,Mammalia,Chiroptera,188.00000000,Phyllostomidae,Phyllostomus discolor,pale spear-nosed bat,omnivore,35.00000000,reported mean,mashed bananas with dye,fruit/nectar/pollen,6,12,Mean Passage Time: midpoint of feeding to midpoint of defecation event,,,,33.60000000,,,3.40000000,,,,,Laska 1994,,,Yes
Y,Aves,Passeriformes,637.90000000,Pipridae,Pipra mentalis,Red-capped manakin,frugivore/nectarivore,14.20000000,reported mean,marker or seed inserted into fruit or skin of fruit marked,fruit/nectar/pollen,6,1,Gut Passage Time: mean of eating to time of first sighting in feces,,,,15.23333333,,,2.01666667,,,,,Worthington 1989,took mean across the three different marker studies,,Yes
N,Mammalia,Primates,174.36960000,Hominidae,Pongo pygmaeus,Bornean orangutan,frugivore/nectarivore,70700.00000000,,jam sandwiches with Co-EDTA,fruit/nectar/pollen,3,1,transit time,,,,1452.00000000,,,48.00000000,,3912.00000000,768.00000000,,Caton et al. 1999,transit time: first appearance of the markers in feces,no,No
N,Mammalia,Primates,174.36960000,Hominidae,Pongo pygmaeus,Bornean orangutan,frugivore/nectarivore,70700.00000000,,jam sandwiches with cell wall constituents,fruit/nectar/pollen,3,1,transit time,,,,1452.00000000,,,48.00000000,,4422.00000000,930.00000000,,Caton et al. 1999,transit time: first appearance of the markers in feces,no,No
N,Mammalia,Primates,174.36960000,Hominidae,Pongo pygmaeus,Bornean orangutan,frugivore/nectarivore,72491.66667000,average of reported male and female mass from study,marked seed mimics in fruit,fruit/nectar/pollen,6,1,Transit time: first marker in feces,,,,4586.00000000,,9558.00000000,610.00000000,,,,,Tarszisz et al 2018,took mean of all trials in raw data ,,Yes
Y,Mammalia,Chiroptera,188.00000000,Pteropodidae,Ptenochirus jagorii,Greater musky fruit bat,frugivore/nectarivore,79.50000000,https://www.projectnoah.org/spottings/9449626,Ficus chrysolepis fruits with seeds,fruit/nectar/pollen,5,1,range of minimum transit time reported (site of seeds in feces),20-45,,57.50000000,,,,,,,,,Utzurrum and Heidman 1991,Range of minimum transit times reported only. Upper end of minimum time + half the range taken as the median,,Yes
Y,Mammalia,Chiroptera,188.00000000,Pteropodidae,Pteropus alecto,Black flying fox,frugivore/nectarivore,540.00000000,reported mass,"fruit mixture (pawpaws, apples, grapes, bananas, pears, mangoes) mixed with 25% barium sulfate",fruit/nectar/pollen,1,14,Intestinal transport time: feeding to first feces,18.00000000,,30.00000000,,,32.00000000,,,,,,Tedman and Hall 1985,study design is vague; averaged across food type trials,,Yes
Y,Mammalia,Chiroptera,188.00000000,Pteropodidae,Pteropus poliocephalus,Grey-headed flying fox,frugivore/nectarivore,692.00000000,reported mass,"fruit mixture (pawpaws, apples, grapes, bananas, pears, mangoes) mixed with 25% barium sulfate",fruit/nectar/pollen,1,14,Intestinal transport time: feeding to first feces,12.00000000,,28.50000000,,,44.00000000,,,,,,Tedman and Hall 1985,study design is vague; averaged across food type trials,,Yes
Y,Mammalia,Chiroptera,188.00000000,Pteropodidae,Pteropus rufus,Madagascan Flying Fox,frugivore/nectarivore,625.00000000,https://animaldiversity.org/accounts/Pteropus_rufus/,banana with Ficus spp. seeds,fruit/nectar/pollen,4,1,Mean Retention Time,12.00000000,,,30.00000000,,,1470.00000000,,30.00000000,1470.00000000,,Oleksy et al. 2017,reported mean,,Yes
N,Mammalia,Primates,174.36960000,Cercopithecidae,Rhinopithecus bieti,Snub-Nosed Monkey,folivore,11750.00000000,https://animaldiversity.org/accounts/Rhinopithecus_bieti/#food_habits,"dicot leaves, fruit, plastic markers",fruit/nectar/pollen,3,2,transit time: time from ingestion to ﬁrst appearance of marker in feces according to Van Soest (1994),1140.00000000,,,1560.00000000,,2940.00000000,,,2250.00000000,,,Kirkpatrick et al. 2001,took mean of two trials with fruit,,Yes
Y,Mammalia,Chiroptera,188.00000000,Pteropodidae,Rousettus aegyptiacus,Egyptian fruit bat,frugivore/nectarivore,127.50000000,reported mass,banana with dye,fruit/nectar/pollen,not reported,not reported,first dye in poop,,,,20.00000000,,,1.00000000,,,,,Wolton et al. 1982,average of times of varius defecations in table 2,,Yes
Y,Mammalia,Chiroptera,188.00000000,Pteropodidae,Scotonycteris zenkeri,Zenker's fruit bat,frugivore/nectarivore,20.50000000,reported mass,banana with dye,fruit/nectar/pollen,not reported,not reported,first dye in poop,,,,24.00000000,,,8.00000000,,,,,Wolton et al. 1982,average of times of varius defecations in table 2,,Yes
N,Reptilia,Testudines,637.90000000,Testudinidae,Stigmochelys pardalis ,leopard tortoise,folivore,146527.50000000,mean of adult males and females,tomato mash,fruit/nectar/pollen,6,3,Transit time: time from beginning of feeding to first sight of marker in feces,,,,3240.00000000,,,432.00000000,,,,,McMater et al 2008,mean of MGT as reported in paper,,Yes
Y,Mammalia,Chiroptera,188.00000000,Phyllostomidae,Sturnira lilium,little yellow-shouldered bat,frugivore/nectarivore,20.30000000,mean as reported in paper,Columnar cactus,fruit/nectar/pollen,5,1,"TT: transit time, time from feeding to first appearance in feces",55.00000000,,,122.00000000,,,31.75000000,,,,,Herrera and Martinez del Rio 1998,Fed pollen solutions,,Yes
Y,Mammalia,Chiroptera,188.00000000,Phyllostomidae,Sturnira lilium,little yellow-shouldered bat,frugivore/nectarivore,21.40000000,mean as reported in paper,P. ellipticum,fruit/nectar/pollen,6,1,"TT: transit time, time from feeding to first appearance in feces",33.50000000,,,119.00000000,,,38.75000000,,,,,Herrera and Martinez del Rio 1998,,,Yes
Y,Mammalia,Chiroptera,188.00000000,Phyllostomidae,Sturnira lilium,little yellow-shouldered bat,frugivore/nectarivore,20.00000000,reported mean,mashed bananas with dye,fruit/nectar/pollen,2,12,Mean Passage Time: midpoint of feeding to midpoint of defecation event,,,,25.70000000,,,3.00000000,,,,,Laska 1994,,,Yes
Y,Mammalia,Chiroptera,188.00000000,Pteropodidae,Syconycteris australis,Common blossum bat,frugivore/nectarivore,19.70000000,reported mean,Callistemon pollen: standard liquid diet followed by pollen dose after 1 hour,fruit/nectar/pollen,3,1,"TT: transit time, time from feeding to first appearance in feces",30.00000000,,,38.00000000,,45.00000000,,4.00000000,50.00000000,,1.00000000,Law 1992,reported mean for pure pollen type,,Yes
Y,Mammalia,Chiroptera,188.00000000,Pteropodidae,Syconycteris australis,Common blossum bat,frugivore/nectarivore,19.70000000,reported mean,Banksia pollen: standard liquid diet followed by pollen dose after 1 hour,fruit/nectar/pollen,3,1,"TT: transit time, time from feeding to first appearance in feces",39.00000000,,,95.00000000,,145.00000000,,31.00000000,163.00000000,,34.00000000,Law 1992,reported mean for pure pollen type,,Yes
N,Reptilia,Testudines,637.90000000,Emydidae,Terrapene carolina,Florida box Turtle,omnivore,359.50000000,mean of male and female study population,"30% weight-by-volume suspension; blackberries, sweet potato, blueberries",fruit/nectar/pollen,11,,first excretia of marker,2880.00000000,,14400.00000000,21468.00000000,,47520.00000000,11958.00000000,,,,,Houck et al 2019,,,Yes
Y,Aves,Passeriformes,637.90000000,Zosteropidae,Zosterops pallidus,Cape White-eye,omnivore,10.62000000,initial body mass,fruit,fruit/nectar/pollen,10,1,transit time: time from beginning of feeding to first sight of marker in feces,,,,33.99000000,,,9.09000000,,,,,Brown and Downs 2003; found that transit time varied within a diet treatment according to the amount eaten and percentage of time spent feeding; we use the non-standardized transit times,,,Yes
Y,Aves,Passeriformes,637.90000000,Zosteropidae,Zosterops pallidus,Cape White-eye,omnivore,10.68000000,initial body mass,nectar,fruit/nectar/pollen,10,1,transit time: time from beginning of feeding to first sight of marker in feces,,,,13.56000000,,,2.22000000,,,,,"Brown and Downs 2003; little unclear why the food types were broken up here, but not in the little brown bat paper below?",,,Yes
N,Mammalia,Artiodactyla,188.00000000,Cervidae,Alces alces,moose,folivore,280142.85710000,,wheat brain + Co-EDTA,fiber/foliage,12,,mean retention time,,,,,,,,,1750.28571400,2.15714286,,Przybylo et al 2019,,no,No
N,Mammalia,Artiodactyla,188.00000000,Cervidae,Alces alces,moose,folivore,280142.85710000,,wheat brain + chromium mordanted fiber,fiber/foliage,12,,mean retention time,,,,,,,,,2282.57142900,3.51428571,,Przybylo et al 2019,,no,No
N,Mammalia,Primates,174.36960000,Cercopithecidae,Allenopithecus nigroviridis ,Allen’s swamp monkey ,folivore,9800.00000000,as reported in table from published lit,leaves and fruits and marker,fiber/foliage,3,3,Transit time: first marker in feces,,,,1320.00000000,,,116.18950040,,1413.33330000,26.68333000,,Blaine and Lambert 2012,manually mean and SD of all trials in raw data + manually calculated MRT and SD,,Yes
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Bison bonasus,European bison,folivore,188000.00000000,,wheat brain + Co-EDTA,fiber/foliage,2,,mean retention time,,,,,,,,,1266.00000000,220.61731570,,Przybylo et al 2019,,no,No
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Bison bonasus,European bison,folivore,188000.00000000,,wheat brain + chromium mordanted fiber,fiber/foliage,2,,mean retention time,,,,,,,,,2208.00000000,509.11688250,,Przybylo et al 2019,,no,No
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Bos taurus,cow,folivore,680000.00000000,,wheat brain + Co-EDTA,fiber/foliage,2,,mean retention time,,,,,,,,,1296.00000000,36.00000000,,Przybylo et al 2019,,no,No
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Bos taurus,cow,folivore,680000.00000000,,wheat brain + chromium mordanted fiber,fiber/foliage,2,,mean retention time,,,,,,,,,2382.00000000,12.00000000,,Przybylo et al 2019,,no,No
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Bos taurus,cow,folivore,642000.00000000,mean reported in paper,hay with markers,fiber/foliage,8,4,ITT: intestinal transit time (time feeding to first appearance in feces),,,,1113.00000000,,,36.00000000,,1968.00000000,36.00000000,,Hanks et al 1993,took mean of means reported for both pregnant and non-pregnant cows,,Yes
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Bos taurus,cow,folivore,340000.00000000,mean  of control group reported in paper,hay with markers,fiber/foliage,2,1,ITT: intestinal transit time (time feeding to first appearance in feces),,,,966.00000000,,,,,3318.00000000,,,Krysl et al 1989,reported mean of control trials,,Yes
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Bos taurus,cow,folivore,571000.00000000,mean as reported in paper,grass silage of varying maturity,fiber/foliage,6,1,TT (tracer transit time from ingestion to passage),546.00000000,,,810.00000000,,1500.00000000,264.11227560,,,,,Warner et al 2013,took mean of TT across different silage concentrations,,Yes
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Bos taurus,cow,folivore,561000.00000000,mean as reported in paper,grass silage of varying maturity,fiber/foliage,4,1,TT (tracer transit time from ingestion to passage),,,,806.57142860,,,23.71256448,,2681.14285700,,31.06674842,Warner et al 2013b,mean of TT across different silage concentrations,,Yes
N,Mammalia,Carnivora,188.00000000,Canidae,Canis familiaris,domestic dog,carnivore,11339.82500000,https://www.akc.org/dog-breeds/beagle/,canned food high in fiber,fiber/foliage,5,5,Gastrointestinal transit time: from ingestion to first appearance of marker in feces,270.00000000,,,433.20000000,,660.00000000,,,,,,Lewis et al 1994,took mean of five diets in table 2,,Yes
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Capra hircus,domestic goat,folivore,15300.00000000,reported mean,corn-soy-vitamin mixture,fiber/foliage,18,1,mrt,,,,2949.00000000,,,,,2949.00000000,,,Leite et al. 2015,took average of mrt for all sexes for the digestible/solid markers for the groups without feeding restrictions,,Yes
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Capra hircus,domestic goat,folivore,15700.00000000,reported mean,corn-soy-vitamin mixture,fiber/foliage,9,1,mrt,,,,3198.00000000,,,,,3198.00000000,,,Leite et al. 2015b,took average of mrt for sexes in the initial weight group for the digestible/solid markers group,,Yes
N,Mammalia,Rodentia,0.00000000,Caviidae,Cavia porcellus,guinea pig,folivore,377.00000000,,"alfalfa, wheat bran, maize, sucrose + Co-EDTA",fiber/foliage,5,,transit time,,,,252.00000000,,,,,954.00000000,,,Sakaguchi et al 1987,,no,No
N,Mammalia,Rodentia,0.00000000,Caviidae,Cavia porcellus,guinea pig,folivore,377.00000000,,"alfalfa, wheat bran, maize, sucrose + cell wall constituents",fiber/foliage,5,,transit time,,,,180.00000000,,,,,978.00000000,,,Sakaguchi et al 1987,,no,No
N,Mammalia,Rodentia,0.00000000,Caviidae,Cavia porcellus,guinea pig,folivore,410.00000000,,"alfalfa, wheat bran, maize, sucrose + Co-EDTA",fiber/foliage,5,,transit time,,,,264.00000000,54.00000000,,,,1134.00000000,198.00000000,,Sakaguchi et al 1992b,,no,No
N,Mammalia,Rodentia,0.00000000,Caviidae,Cavia porcellus,guinea pig,folivore,410.00000000,,"alfalfa, wheat bran, maize, sucrose + cell wall constituents",fiber/foliage,5,,transit time,,,,288.00000000,30.00000000,,,,1254.00000000,318.00000000,,Sakaguchi et al 1992b,,no,No
